vorname,nachname,email,activity,points
h9802641,Test1,21
h9802641,Test2,23
h9802641,Test3,54
h9802641,Abschlusstest,12
h9802641,Test1,43
h9802641,Test2,89
h9802641,Test3,65
h9802641,Abschlusstest,32
h9802641,Test1,43
h9802641,Test2,76
h9802641,Test3,87
h9802641,Abschlusstest,120
h9802641,Test1,55
h9802641,Test2,67
h9802641,Test3,98
h9802641,Abschlusstest,76
h9802641,Test1,65
h9802641,Test2,23
h9802641,Test3,0
h9802641,Abschlusstest,3
h9802641,Test1,23
h9802641,Test2,25
h9802641,Test3,99
h9802641,Abschlusstest,100

